"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 04 21:13:04 GMT 2022","Mon Jul 04 21:13:04 GMT 2022","4","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldDeleteUserNote","shouldDeleteUserNote(String) Close issue via api",""
"failed","Mon Jul 04 21:13:06 GMT 2022","Mon Jul 04 21:13:07 GMT 2022","1022","","io.qameta.allure.PullRequestsWebTest","","io.qameta.allure.PullRequestsWebTest","shouldClosePullRequest","Deleting existing issue for authorized user",""
"passed","Mon Jul 04 21:13:05 GMT 2022","Mon Jul 04 21:13:06 GMT 2022","1005","","io.qameta.allure.IssuesWebTest","","io.qameta.allure.IssuesWebTest","shouldCloseIssue","Closing new issue for authorized user",""
"passed","Mon Jul 04 21:13:04 GMT 2022","Mon Jul 04 21:13:04 GMT 2022","4","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldDeleteUserNote","shouldDeleteUserNote(String) Close issue via api",""
"passed","Mon Jul 04 21:13:04 GMT 2022","Mon Jul 04 21:13:05 GMT 2022","1027","","io.qameta.allure.IssuesWebTest","","io.qameta.allure.IssuesWebTest","shouldCreateIssue","Creating new issue authorized user",""
"passed","Mon Jul 04 21:13:04 GMT 2022","Mon Jul 04 21:13:04 GMT 2022","2","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldCreateUserNote","shouldCreateUserNote(String) Create issue via api",""
"passed","Mon Jul 04 21:13:07 GMT 2022","Mon Jul 04 21:13:09 GMT 2022","2004","","io.qameta.allure.PullRequestsWebTest","","io.qameta.allure.PullRequestsWebTest","shouldCreatePullRequest","Creating new issue for authorized user",""
"passed","Mon Jul 04 21:13:04 GMT 2022","Mon Jul 04 21:13:04 GMT 2022","85","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldCreateUserNote","shouldCreateUserNote(String) Create issue via api",""
