"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 04 21:15:32 GMT 2022","Mon Jul 04 21:15:34 GMT 2022","2008","","io.qameta.allure.PullRequestsWebTest","","io.qameta.allure.PullRequestsWebTest","shouldClosePullRequest","Deleting existing issue for authorized user",""
"failed","Mon Jul 04 21:15:34 GMT 2022","Mon Jul 04 21:15:36 GMT 2022","2012","","io.qameta.allure.PullRequestsWebTest","","io.qameta.allure.PullRequestsWebTest","shouldCreatePullRequest","Creating new issue for authorized user",""
"passed","Mon Jul 04 21:15:29 GMT 2022","Mon Jul 04 21:15:29 GMT 2022","108","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldCreateUserNote","shouldCreateUserNote(String) Create issue via api",""
"failed","Mon Jul 04 21:15:29 GMT 2022","Mon Jul 04 21:15:30 GMT 2022","1055","","io.qameta.allure.IssuesWebTest","","io.qameta.allure.IssuesWebTest","shouldCreateIssue","Creating new issue authorized user",""
"passed","Mon Jul 04 21:15:29 GMT 2022","Mon Jul 04 21:15:29 GMT 2022","6","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldCreateUserNote","shouldCreateUserNote(String) Create issue via api",""
"passed","Mon Jul 04 21:15:30 GMT 2022","Mon Jul 04 21:15:31 GMT 2022","1004","","io.qameta.allure.IssuesWebTest","","io.qameta.allure.IssuesWebTest","shouldCloseIssue","Closing new issue for authorized user",""
"passed","Mon Jul 04 21:15:29 GMT 2022","Mon Jul 04 21:15:29 GMT 2022","5","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldDeleteUserNote","shouldDeleteUserNote(String) Close issue via api",""
"passed","Mon Jul 04 21:15:29 GMT 2022","Mon Jul 04 21:15:29 GMT 2022","6","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldDeleteUserNote","shouldDeleteUserNote(String) Close issue via api",""
