"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","46","shouldCreateUserNote(String) Create issue via api","","Mon Feb 16 10:55:05 UTC 2026","passed","Mon Feb 16 10:55:05 UTC 2026","","io.qameta.allure.IssuesRestTest","io.qameta.allure.IssuesRestTest","shouldCreateUserNote"
"","3","shouldCreateUserNote(String) Create issue via api","","Mon Feb 16 10:55:05 UTC 2026","passed","Mon Feb 16 10:55:05 UTC 2026","","io.qameta.allure.IssuesRestTest","io.qameta.allure.IssuesRestTest","shouldCreateUserNote"
"","2","shouldDeleteUserNote(String) Close issue via api","","Mon Feb 16 10:55:05 UTC 2026","passed","Mon Feb 16 10:55:05 UTC 2026","","io.qameta.allure.IssuesRestTest","io.qameta.allure.IssuesRestTest","shouldDeleteUserNote"
"","3","shouldDeleteUserNote(String) Close issue via api","","Mon Feb 16 10:55:05 UTC 2026","passed","Mon Feb 16 10:55:05 UTC 2026","","io.qameta.allure.IssuesRestTest","io.qameta.allure.IssuesRestTest","shouldDeleteUserNote"
"","2004","Deleting existing issue for authorized user","","Mon Feb 16 10:55:07 UTC 2026","passed","Mon Feb 16 10:55:09 UTC 2026","","io.qameta.allure.PullRequestsWebTest","io.qameta.allure.PullRequestsWebTest","shouldClosePullRequest"
"","2004","Creating new issue for authorized user","","Mon Feb 16 10:55:09 UTC 2026","passed","Mon Feb 16 10:55:11 UTC 2026","","io.qameta.allure.PullRequestsWebTest","io.qameta.allure.PullRequestsWebTest","shouldCreatePullRequest"
"","1005","Closing new issue for authorized user","","Mon Feb 16 10:55:06 UTC 2026","passed","Mon Feb 16 10:55:07 UTC 2026","","io.qameta.allure.IssuesWebTest","io.qameta.allure.IssuesWebTest","shouldCloseIssue"
"","1059","Creating new issue authorized user","","Mon Feb 16 10:55:05 UTC 2026","passed","Mon Feb 16 10:55:06 UTC 2026","","io.qameta.allure.IssuesWebTest","io.qameta.allure.IssuesWebTest","shouldCreateIssue"
