"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 04 21:17:29 GMT 2022","Mon Jul 04 21:17:31 GMT 2022","2003","","io.qameta.allure.PullRequestsWebTest","","io.qameta.allure.PullRequestsWebTest","shouldCreatePullRequest","Creating new issue for authorized user",""
"failed","Mon Jul 04 21:17:25 GMT 2022","Mon Jul 04 21:17:26 GMT 2022","1048","","io.qameta.allure.IssuesWebTest","","io.qameta.allure.IssuesWebTest","shouldCreateIssue","Creating new issue authorized user",""
"passed","Mon Jul 04 21:17:25 GMT 2022","Mon Jul 04 21:17:25 GMT 2022","7","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldCreateUserNote","shouldCreateUserNote(String) Create issue via api",""
"passed","Mon Jul 04 21:17:27 GMT 2022","Mon Jul 04 21:17:29 GMT 2022","2004","","io.qameta.allure.PullRequestsWebTest","","io.qameta.allure.PullRequestsWebTest","shouldClosePullRequest","Deleting existing issue for authorized user",""
"passed","Mon Jul 04 21:17:25 GMT 2022","Mon Jul 04 21:17:25 GMT 2022","4","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldDeleteUserNote","shouldDeleteUserNote(String) Close issue via api",""
"passed","Mon Jul 04 21:17:25 GMT 2022","Mon Jul 04 21:17:25 GMT 2022","5","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldDeleteUserNote","shouldDeleteUserNote(String) Close issue via api",""
"failed","Mon Jul 04 21:17:26 GMT 2022","Mon Jul 04 21:17:27 GMT 2022","1006","","io.qameta.allure.IssuesWebTest","","io.qameta.allure.IssuesWebTest","shouldCloseIssue","Closing new issue for authorized user",""
"passed","Mon Jul 04 21:17:25 GMT 2022","Mon Jul 04 21:17:25 GMT 2022","94","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldCreateUserNote","shouldCreateUserNote(String) Create issue via api",""
