"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 11 15:43:25 GMT 2023","Mon Dec 11 15:43:27 GMT 2023","2004","","io.qameta.allure.PullRequestsWebTest","","io.qameta.allure.PullRequestsWebTest","shouldCreatePullRequest","Creating new issue for authorized user",""
"passed","Mon Dec 11 15:43:23 GMT 2023","Mon Dec 11 15:43:25 GMT 2023","2004","","io.qameta.allure.PullRequestsWebTest","","io.qameta.allure.PullRequestsWebTest","shouldClosePullRequest","Deleting existing issue for authorized user",""
"passed","Mon Dec 11 15:43:22 GMT 2023","Mon Dec 11 15:43:23 GMT 2023","1004","","io.qameta.allure.IssuesWebTest","","io.qameta.allure.IssuesWebTest","shouldCloseIssue","Closing new issue for authorized user",""
"passed","Mon Dec 11 15:43:21 GMT 2023","Mon Dec 11 15:43:22 GMT 2023","1049","","io.qameta.allure.IssuesWebTest","","io.qameta.allure.IssuesWebTest","shouldCreateIssue","Creating new issue authorized user",""
"passed","Mon Dec 11 15:43:21 GMT 2023","Mon Dec 11 15:43:21 GMT 2023","4","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldCreateUserNote","shouldCreateUserNote(String) Create issue via api",""
"passed","Mon Dec 11 15:43:21 GMT 2023","Mon Dec 11 15:43:21 GMT 2023","5","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldDeleteUserNote","shouldDeleteUserNote(String) Close issue via api",""
"passed","Mon Dec 11 15:43:21 GMT 2023","Mon Dec 11 15:43:21 GMT 2023","64","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldCreateUserNote","shouldCreateUserNote(String) Create issue via api",""
"passed","Mon Dec 11 15:43:21 GMT 2023","Mon Dec 11 15:43:21 GMT 2023","3","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldDeleteUserNote","shouldDeleteUserNote(String) Close issue via api",""
