"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Oct 22 15:32:53 GMT 2024","Tue Oct 22 15:32:54 GMT 2024","1034","","io.qameta.allure.IssuesWebTest","","io.qameta.allure.IssuesWebTest","shouldCloseIssue","Closing new issue for authorized user",""
"passed","Tue Oct 22 15:32:52 GMT 2024","Tue Oct 22 15:32:52 GMT 2024","106","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldCreateUserNote","shouldCreateUserNote(String) Create issue via api",""
"failed","Tue Oct 22 15:32:54 GMT 2024","Tue Oct 22 15:32:56 GMT 2024","2009","","io.qameta.allure.PullRequestsWebTest","","io.qameta.allure.PullRequestsWebTest","shouldClosePullRequest","Deleting existing issue for authorized user",""
"passed","Tue Oct 22 15:32:52 GMT 2024","Tue Oct 22 15:32:52 GMT 2024","5","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldDeleteUserNote","shouldDeleteUserNote(String) Close issue via api",""
"passed","Tue Oct 22 15:32:52 GMT 2024","Tue Oct 22 15:32:52 GMT 2024","3","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldCreateUserNote","shouldCreateUserNote(String) Create issue via api",""
"passed","Tue Oct 22 15:32:52 GMT 2024","Tue Oct 22 15:32:52 GMT 2024","3","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldDeleteUserNote","shouldDeleteUserNote(String) Close issue via api",""
"failed","Tue Oct 22 15:32:56 GMT 2024","Tue Oct 22 15:32:56 GMT 2024","4","","io.qameta.allure.PullRequestsWebTest","","io.qameta.allure.PullRequestsWebTest","shouldCreatePullRequest","Creating new issue for authorized user",""
"passed","Tue Oct 22 15:32:52 GMT 2024","Tue Oct 22 15:32:53 GMT 2024","1054","","io.qameta.allure.IssuesWebTest","","io.qameta.allure.IssuesWebTest","shouldCreateIssue","Creating new issue authorized user",""
