"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 05 13:01:30 GMT 2023","Tue Sep 05 13:01:31 GMT 2023","1029","","io.qameta.allure.IssuesWebTest","","io.qameta.allure.IssuesWebTest","shouldCreateIssue","Creating new issue authorized user",""
"passed","Tue Sep 05 13:01:30 GMT 2023","Tue Sep 05 13:01:30 GMT 2023","4","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldDeleteUserNote","shouldDeleteUserNote(String) Close issue via api",""
"passed","Tue Sep 05 13:01:30 GMT 2023","Tue Sep 05 13:01:30 GMT 2023","5","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldDeleteUserNote","shouldDeleteUserNote(String) Close issue via api",""
"passed","Tue Sep 05 13:01:32 GMT 2023","Tue Sep 05 13:01:34 GMT 2023","2004","","io.qameta.allure.PullRequestsWebTest","","io.qameta.allure.PullRequestsWebTest","shouldClosePullRequest","Deleting existing issue for authorized user",""
"passed","Tue Sep 05 13:01:34 GMT 2023","Tue Sep 05 13:01:36 GMT 2023","2003","","io.qameta.allure.PullRequestsWebTest","","io.qameta.allure.PullRequestsWebTest","shouldCreatePullRequest","Creating new issue for authorized user",""
"passed","Tue Sep 05 13:01:30 GMT 2023","Tue Sep 05 13:01:30 GMT 2023","5","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldCreateUserNote","shouldCreateUserNote(String) Create issue via api",""
"passed","Tue Sep 05 13:01:30 GMT 2023","Tue Sep 05 13:01:30 GMT 2023","80","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldCreateUserNote","shouldCreateUserNote(String) Create issue via api",""
"passed","Tue Sep 05 13:01:31 GMT 2023","Tue Sep 05 13:01:32 GMT 2023","1005","","io.qameta.allure.IssuesWebTest","","io.qameta.allure.IssuesWebTest","shouldCloseIssue","Closing new issue for authorized user",""
