"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","shouldCreateUserNote(String) Create issue via api","","2026-05-28","passed","2026-05-28","","io.qameta.allure.IssuesRestTest","io.qameta.allure.IssuesRestTest","shouldCreateUserNote"
"","51","shouldCreateUserNote(String) Create issue via api","","2026-05-28","passed","2026-05-28","","io.qameta.allure.IssuesRestTest","io.qameta.allure.IssuesRestTest","shouldCreateUserNote"
"","2007","Deleting existing issue for authorized user","","2026-05-28","failed","2026-05-28","","io.qameta.allure.PullRequestsWebTest","io.qameta.allure.PullRequestsWebTest","shouldClosePullRequest"
"","3","shouldDeleteUserNote(String) Close issue via api","","2026-05-28","passed","2026-05-28","","io.qameta.allure.IssuesRestTest","io.qameta.allure.IssuesRestTest","shouldDeleteUserNote"
"","1063","Creating new issue authorized user","","2026-05-28","failed","2026-05-28","","io.qameta.allure.IssuesWebTest","io.qameta.allure.IssuesWebTest","shouldCreateIssue"
"","1005","Closing new issue for authorized user","","2026-05-28","failed","2026-05-28","","io.qameta.allure.IssuesWebTest","io.qameta.allure.IssuesWebTest","shouldCloseIssue"
"","3","shouldDeleteUserNote(String) Close issue via api","","2026-05-28","passed","2026-05-28","","io.qameta.allure.IssuesRestTest","io.qameta.allure.IssuesRestTest","shouldDeleteUserNote"
"","2004","Creating new issue for authorized user","","2026-05-28","passed","2026-05-28","","io.qameta.allure.PullRequestsWebTest","io.qameta.allure.PullRequestsWebTest","shouldCreatePullRequest"
