"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 19 11:15:27 GMT 2023","Mon Jun 19 11:15:28 GMT 2023","1004","","io.qameta.allure.IssuesWebTest","","io.qameta.allure.IssuesWebTest","shouldCloseIssue","Closing new issue for authorized user",""
"passed","Mon Jun 19 11:15:26 GMT 2023","Mon Jun 19 11:15:26 GMT 2023","3","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldDeleteUserNote","shouldDeleteUserNote(String) Close issue via api",""
"passed","Mon Jun 19 11:15:26 GMT 2023","Mon Jun 19 11:15:27 GMT 2023","1037","","io.qameta.allure.IssuesWebTest","","io.qameta.allure.IssuesWebTest","shouldCreateIssue","Creating new issue authorized user",""
"passed","Mon Jun 19 11:15:26 GMT 2023","Mon Jun 19 11:15:26 GMT 2023","3","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldDeleteUserNote","shouldDeleteUserNote(String) Close issue via api",""
"passed","Mon Jun 19 11:15:28 GMT 2023","Mon Jun 19 11:15:30 GMT 2023","2006","","io.qameta.allure.PullRequestsWebTest","","io.qameta.allure.PullRequestsWebTest","shouldClosePullRequest","Deleting existing issue for authorized user",""
"passed","Mon Jun 19 11:15:26 GMT 2023","Mon Jun 19 11:15:26 GMT 2023","110","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldCreateUserNote","shouldCreateUserNote(String) Create issue via api",""
"passed","Mon Jun 19 11:15:26 GMT 2023","Mon Jun 19 11:15:26 GMT 2023","3","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldCreateUserNote","shouldCreateUserNote(String) Create issue via api",""
"passed","Mon Jun 19 11:15:30 GMT 2023","Mon Jun 19 11:15:32 GMT 2023","2005","","io.qameta.allure.PullRequestsWebTest","","io.qameta.allure.PullRequestsWebTest","shouldCreatePullRequest","Creating new issue for authorized user",""
